week,Load: Practice,Load: S&C,Load: Competition,Sleep,Motivation_delta
45,371.0,0.0,216.0,58.0,-13.999999999999996
8,467.0,157.0,0.0,82.8,-0.8666666666666742
3,672.0,188.0,0.0,58.142857142857146,-6.571428571428569
46,265.0,0.0,274.0,92.83333333333333,13.099999999999994
4,0.0,108.0,0.0,46.42857142857143,-2.6571428571428513
15,0.0,0.0,0.0,82.75,-5.714285714285708
13,0.0,0.0,0.0,80.0,3.714285714285708
24,308.0,60.0,0.0,85.33333333333333,-22.714285714285715
8,0.0,0.0,0.0,56.0,11.75
27,0.0,0.0,0.0,53.4,-6.0
11,0.0,0.0,0.0,64.5,-2.833333333333332
46,0.0,0.0,0.0,64.14285714285714,9.42857142857143
2,586.0,175.0,0.0,58.0,-1.5714285714285694
18,0.0,0.0,0.0,81.0,27.0
45,217.0,0.0,202.0,77.0,0.1666666666666714
2,681.0,94.0,0.0,61.142857142857146,-9.166666666666671
11,0.0,125.0,0.0,58.5,-2.7142857142857153
5,0.0,90.0,0.0,78.42857142857143,-1.5714285714285694
15,0.0,0.0,0.0,58.285714285714285,9.07142857142857
2,438.0,32.0,0.0,48.833333333333336,8.5
1,0.0,0.0,0.0,85.2,9.75
1,0.0,0.0,0.0,56.142857142857146,9.857142857142861
6,0.0,118.0,0.0,80.25,5.892857142857139
29,0.0,0.0,0.0,48.0,13.457142857142859
11,0.0,0.0,0.0,53.25,-13.285714285714285
25,418.0,0.0,734.0,56.285714285714285,0.9428571428571431
11,0.0,0.0,0.0,81.75,3.714285714285708
12,0.0,0.0,0.0,46.0,17.5
40,0.0,0.0,0.0,63.5,7.0
3,0.0,0.0,0.0,60.166666666666664,5.714285714285722
7,0.0,0.0,0.0,69.0,-23.523809523809526
6,243.0,124.0,0.0,48.333333333333336,-18.285714285714292
24,446.0,0.0,492.0,36.6,1.4285714285714306
18,0.0,0.0,0.0,63.0,7.0
12,710.0,11.0,195.0,74.75,8.25
11,0.0,67.0,0.0,70.71428571428571,-13.142857142857142
19,0.0,30.0,0.0,80.75,-2.214285714285708
13,633.0,168.0,0.0,54.42857142857143,-7.571428571428569
2,0.0,0.0,0.0,85.42857142857143,5.5
4,0.0,0.0,0.0,71.0,0.0
19,0.0,54.0,0.0,62.57142857142857,-3.0
9,633.0,152.0,0.0,72.5,-14.142857142857146
3,0.0,0.0,0.0,68.42857142857143,4.428571428571416
3,0.0,0.0,0.0,55.57142857142857,21.057142857142864
28,437.0,125.0,0.0,85.25,49.35714285714286
16,297.0,118.0,358.0,55.5,4.5
25,431.0,112.0,0.0,80.0,-2.166666666666657
12,565.0,189.0,201.0,67.57142857142857,47.14285714285715
23,0.0,0.0,0.0,51.0,6.0
27,0.0,0.0,0.0,58.0,16.5
18,0.0,176.0,0.0,77.42857142857143,18.714285714285722
16,252.0,65.0,552.0,65.85714285714286,18.0
2,0.0,0.0,0.0,79.71428571428571,10.285714285714292
17,0.0,0.0,0.0,63.666666666666664,-31.142857142857153
45,48.0,0.0,0.0,35.0,-6.0
13,310.0,158.0,0.0,79.66666666666667,17.83333333333333
17,205.0,17.0,0.0,41.8,-35.19047619047619
3,0.0,0.0,0.0,88.0,55.5
4,454.0,36.0,0.0,54.6,-21.142857142857146
13,0.0,0.0,0.0,68.25,-21.25
45,418.0,0.0,499.0,49.285714285714285,-2.0
44,671.0,0.0,214.0,38.0,18.714285714285715
2,895.0,0.0,0.0,70.75,-4.25
7,163.0,184.0,0.0,61.0,16.5
9,0.0,0.0,0.0,46.25,-10.75
4,0.0,0.0,0.0,82.0,6.25
14,608.0,84.0,0.0,86.83333333333333,-2.3333333333333286
31,384.0,67.0,0.0,45.333333333333336,1.5
7,0.0,0.0,0.0,65.75,-2.5714285714285836
31,0.0,70.0,0.0,54.0,55.0
19,0.0,133.0,0.0,55.666666666666664,-10.0
9,650.0,163.0,0.0,47.0,0.1428571428571459
9,0.0,0.0,0.0,67.0,-6.25
8,154.0,79.0,0.0,89.0,-25.41666666666667
28,280.0,86.0,0.0,36.0,-16.357142857142858
46,361.0,0.0,510.0,73.5,-25.16666666666667
13,332.0,23.0,0.0,31.333333333333332,-15.619047619047617
5,0.0,0.0,0.0,59.5,-24.5
3,0.0,0.0,0.0,82.5,42.666666666666664
4,0.0,0.0,0.0,80.0,-13.5
4,540.0,67.0,0.0,47.285714285714285,-13.142857142857146
23,721.0,0.0,0.0,44.75,0.5714285714285694
11,76.0,0.0,0.0,53.0,-20.0
10,0.0,0.0,0.0,52.285714285714285,5.857142857142854
19,0.0,196.0,0.0,73.14285714285714,-3.5714285714285694
16,275.0,0.0,627.0,54.333333333333336,-7.25
5,300.0,55.0,0.0,46.666666666666664,27.0
1,0.0,0.0,0.0,60.4,-3.0
5,0.0,0.0,0.0,49.25,4.857142857142854
5,197.0,123.0,0.0,54.0,14.785714285714292
46,365.0,0.0,213.0,62.0,13.5
25,0.0,0.0,0.0,36.166666666666664,0.0
2,647.0,55.0,0.0,62.285714285714285,-4.142857142857139
15,615.0,265.0,0.0,68.66666666666667,22.142857142857146
2,0.0,61.0,0.0,77.0,-24.428571428571438
12,0.0,0.0,0.0,73.33333333333333,46.916666666666664
8,0.0,0.0,0.0,48.0,0.0
25,0.0,0.0,0.0,59.714285714285715,-16.0
13,266.0,167.0,0.0,51.0,-41.333333333333336
23,313.0,176.0,0.0,81.85714285714286,18.714285714285722
1,0.0,0.0,0.0,59.0,-5.5
9,577.0,109.0,0.0,60.57142857142857,0.7142857142857153
24,250.0,120.0,0.0,50.2,-12.17142857142857
5,391.0,109.0,0.0,43.8,-6.285714285714288
27,0.0,238.0,0.0,52.666666666666664,16.999999999999993
1,0.0,0.0,0.0,67.5,1.0
9,0.0,0.0,0.0,60.666666666666664,11.142857142857139
10,0.0,0.0,0.0,52.6,3.049999999999997
1,0.0,0.0,0.0,58.75,2.0
13,0.0,0.0,0.0,74.66666666666667,27.666666666666664
15,658.0,141.0,0.0,52.333333333333336,1.428571428571427
46,544.0,0.0,561.0,53.0,11.800000000000004
30,285.0,137.0,208.0,82.5,-1.5
16,0.0,0.0,0.0,64.6,-1.2857142857142776
15,331.0,162.0,0.0,50.6,-0.3999999999999986
18,128.0,114.0,0.0,51.42857142857143,24.047619047619047
16,0.0,0.0,0.0,47.0,-12.0
22,0.0,24.0,0.0,52.5,-5.0
42,405.0,171.0,0.0,32.0,3.933333333333337
5,492.0,0.0,0.0,72.33333333333333,-1.3333333333333286
15,0.0,16.0,0.0,79.28571428571429,32.57142857142858
1,302.0,0.0,0.0,58.5,25.0
2,0.0,0.0,0.0,37.333333333333336,-14.333333333333336
3,0.0,53.0,0.0,80.28571428571429,32.42857142857144
3,0.0,0.0,0.0,79.8,6.0
16,0.0,0.0,0.0,58.8,15.150000000000006
8,0.0,0.0,0.0,82.33333333333333,-17.53333333333334
18,0.0,0.0,0.0,47.5,-17.5
5,0.0,0.0,0.0,83.0,0.0
1,0.0,0.0,0.0,81.42857142857143,19.85714285714286
8,0.0,0.0,0.0,42.2,-6.5
17,0.0,0.0,0.0,82.0,-8.0
29,0.0,41.0,0.0,53.0,20.66666666666667
24,380.0,0.0,0.0,42.833333333333336,4.033333333333331
10,0.0,0.0,0.0,83.4,3.857142857142861
14,279.0,136.0,0.0,68.75,18.083333333333336
7,181.0,216.0,0.0,72.0,6.416666666666671
5,455.0,110.0,0.0,65.28571428571429,4.714285714285715
7,0.0,0.0,0.0,44.6,-3.5
19,0.0,81.0,0.0,75.0,-7.285714285714292
15,0.0,0.0,0.0,70.4,14.342857142857142
8,0.0,0.0,0.0,61.0,20.0
15,0.0,0.0,0.0,48.25,2.392857142857146
13,366.0,138.0,0.0,51.333333333333336,-10.857142857142854
15,575.0,173.0,0.0,67.75,12.049999999999997
16,56.0,17.0,135.0,52.5,4.399999999999999
22,644.0,31.0,0.0,51.0,9.42857142857143
6,0.0,0.0,0.0,41.833333333333336,20.5
10,0.0,0.0,0.0,69.5,4.0
22,494.0,100.0,0.0,66.66666666666667,-6.833333333333329
16,178.0,83.0,302.0,85.42857142857143,-0.2142857142857082
8,0.0,0.0,0.0,78.66666666666667,-7.285714285714278
3,0.0,0.0,0.0,89.0,0.0
23,283.0,197.0,0.0,60.0,-27.42857142857143
3,0.0,99.0,0.0,48.6,-2.914285714285718
2,0.0,128.0,0.0,48.0,-0.7857142857142847
2,0.0,0.0,0.0,58.6,4.799999999999997
9,517.0,45.0,0.0,28.142857142857142,-3.380952380952383
18,0.0,75.0,0.0,59.5,6.142857142857139
21,0.0,12.0,0.0,27.0,8.399999999999999
5,0.0,0.0,0.0,69.33333333333333,-24.66666666666667
39,0.0,0.0,0.0,36.0,-2.833333333333332
5,372.0,170.0,0.0,82.0,4.5
16,261.0,81.0,596.0,94.0,30.14285714285714
6,286.0,113.0,0.0,46.2,23.999999999999996
1,0.0,0.0,0.0,80.0,11.0
26,0.0,0.0,0.0,45.5,0.0
9,631.0,97.0,0.0,63.0,-1.3333333333333286
12,0.0,0.0,0.0,53.0,3.404761904761905
3,0.0,0.0,0.0,63.166666666666664,5.5
1,382.0,0.0,0.0,51.666666666666664,4.333333333333336
9,0.0,0.0,0.0,19.0,-43.8
1,0.0,0.0,0.0,80.0,16.714285714285708
3,290.0,224.0,0.0,45.5,-1.404761904761898
12,474.0,214.0,203.0,62.5,10.833333333333336
4,211.0,200.0,0.0,61.0,21.42857142857143
4,0.0,0.0,0.0,57.4,-19.85714285714286
47,87.0,0.0,0.0,56.0,6.428571428571431
14,0.0,0.0,0.0,74.71428571428571,-14.476190476190467
8,541.0,83.0,0.0,69.5,0.0
13,486.0,271.0,0.0,72.28571428571429,-28.571428571428577
11,0.0,0.0,0.0,74.75,8.75
2,0.0,0.0,0.0,34.0,-49.0
22,110.0,104.0,0.0,33.75,11.476190476190474
15,359.0,100.0,0.0,59.0,-7.950000000000003
17,184.0,46.0,0.0,91.0,15.047619047619037
7,328.0,149.0,0.0,72.42857142857143,2.5714285714285694
16,205.0,12.0,0.0,87.5,7.142857142857139
16,238.0,112.0,457.0,48.857142857142854,10.714285714285715
8,327.0,275.0,0.0,58.25,-7.299999999999997
12,0.0,0.0,0.0,59.166666666666664,13.428571428571423
1,318.0,0.0,0.0,49.25,43.0
47,0.0,0.0,0.0,51.666666666666664,-4.200000000000003
7,389.0,274.0,0.0,71.33333333333333,4.25
29,153.0,0.0,0.0,51.0,9.523809523809522
35,982.0,0.0,0.0,66.0,-24.0
17,0.0,0.0,0.0,58.0,6.599999999999994
17,353.0,175.0,0.0,77.85714285714286,-34.14285714285714
30,0.0,0.0,0.0,52.0,-2.6000000000000014
7,0.0,0.0,0.0,61.0,16.666666666666664
28,0.0,0.0,0.0,58.0,-0.6666666666666643
8,0.0,0.0,0.0,79.0,-25.0
1,233.0,22.0,0.0,48.0,-14.714285714285715
24,447.0,15.0,0.0,76.66666666666667,16.33333333333333
3,417.0,102.0,0.0,58.57142857142857,-34.57142857142857
24,0.0,0.0,0.0,60.0,0.0
14,0.0,0.0,0.0,81.66666666666667,-29.047619047619044
45,275.0,0.0,128.0,83.0,-10.933333333333323
45,358.0,0.0,407.0,53.4,-20.6
15,0.0,0.0,0.0,66.0,14.0
27,0.0,0.0,0.0,60.333333333333336,34.0
30,0.0,47.0,0.0,60.0,-11.916666666666671
26,0.0,92.0,0.0,66.33333333333333,-20.095238095238095
12,466.0,127.0,219.0,47.5,-3.7142857142857153
1,0.0,0.0,0.0,69.0,20.857142857142854
7,370.0,107.0,0.0,45.333333333333336,2.833333333333332
1,0.0,0.0,0.0,64.85714285714286,-3.2857142857142847
25,0.0,0.0,0.0,55.5,1.5
