week,Load: Practice,Load: S&C,Load: Competition,Distance,High Speed Distance,Sprints,Sleep,Soreness
12,565.0,189.0,201.0,33867.9,5390.3,150.0,67.57142857142857,12.0
23,0.0,0.0,0.0,0.0,0.0,0.0,51.0,44.5
0,0.0,0.0,0.0,0.0,0.0,0.0,69.8,32.57142857142857
27,0.0,0.0,0.0,0.0,0.0,0.0,58.0,46.25
18,0.0,176.0,0.0,4423.9,0.0,0.0,77.42857142857143,6.571428571428571
16,252.0,65.0,552.0,48491.2,6905.6,126.0,65.85714285714286,67.28571428571429
2,0.0,0.0,0.0,0.0,0.0,0.0,79.71428571428571,1.1428571428571428
17,0.0,0.0,0.0,12445.3,0.0,0.0,63.666666666666664,0.0
45,48.0,0.0,0.0,3833.0,0.0,4.0,35.0,40.0
20,0.0,46.0,0.0,2867.2,0.0,0.0,48.4,49.0
13,310.0,158.0,0.0,25927.5,2904.9,99.0,79.66666666666667,15.333333333333334
17,205.0,17.0,0.0,7184.0,681.5,10.0,41.8,52.285714285714285
44,506.0,0.0,134.0,17638.0,0.0,33.0,4.0,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,88.0,27.0
0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,52.0
4,454.0,36.0,0.0,12082.3,602.9,34.0,54.6,28.2
13,0.0,0.0,0.0,0.0,0.0,0.0,68.25,22.75
25,0.0,0.0,0.0,0.0,0.0,0.0,100.0,36.0
45,418.0,0.0,499.0,61301.0,0.0,152.0,49.285714285714285,16.0
44,671.0,0.0,214.0,42517.0,0.0,112.0,38.0,42.57142857142857
2,895.0,0.0,0.0,20888.8,2005.5,99.0,70.75,33.25
7,163.0,184.0,0.0,9886.9,501.09999999999997,42.0,61.0,33.666666666666664
9,0.0,0.0,0.0,0.0,0.0,0.0,46.25,37.75
4,0.0,0.0,0.0,0.0,0.0,0.0,82.0,24.0
14,608.0,84.0,0.0,26349.1,3111.09,97.0,86.83333333333333,65.66666666666667
44,633.0,0.0,197.0,45721.0,0.0,241.0,57.0,32.0
