week,Load: Practice,Load: S&C,Load: Competition,Sleep,Stress
8,467.0,157.0,0.0,82.8,10.333333333333334
3,672.0,188.0,0.0,58.142857142857146,42.0
46,265.0,0.0,274.0,92.83333333333333,0.0
4,0.0,108.0,0.0,46.42857142857143,59.0
15,0.0,0.0,0.0,82.75,18.714285714285715
13,0.0,0.0,0.0,80.0,26.2
12,0.0,0.0,0.0,47.0,36.0
24,308.0,60.0,0.0,85.33333333333333,8.714285714285714
8,0.0,0.0,0.0,56.0,50.0
27,0.0,0.0,0.0,53.4,35.666666666666664
11,0.0,0.0,0.0,64.5,42.5
24,0.0,0.0,0.0,65.6,28.5
46,0.0,0.0,0.0,64.14285714285714,0.0
2,586.0,175.0,0.0,58.0,7.857142857142857
0,0.0,0.0,0.0,78.33333333333333,11.25
18,0.0,0.0,0.0,81.0,15.0
45,217.0,0.0,202.0,77.0,28.5
2,681.0,94.0,0.0,61.142857142857146,33.142857142857146
11,0.0,125.0,0.0,58.5,40.142857142857146
5,0.0,90.0,0.0,78.42857142857143,0.0
15,0.0,0.0,0.0,58.285714285714285,33.42857142857143
2,438.0,32.0,0.0,48.833333333333336,8.333333333333334
1,0.0,0.0,0.0,85.2,46.6
25,0.0,0.0,0.0,47.666666666666664,59.333333333333336
1,0.0,0.0,0.0,56.142857142857146,42.714285714285715
6,0.0,118.0,0.0,80.25,0.0
29,0.0,0.0,0.0,48.0,0.0
11,0.0,0.0,0.0,53.25,51.57142857142857
25,418.0,0.0,734.0,56.285714285714285,16.428571428571427
11,0.0,0.0,0.0,81.75,18.857142857142858
12,0.0,0.0,0.0,46.0,47.0
40,0.0,0.0,0.0,63.5,42.5
3,0.0,0.0,0.0,60.166666666666664,27.428571428571427
7,0.0,0.0,0.0,69.0,19.5
22,0.0,0.0,0.0,60.0,0.0
6,243.0,124.0,0.0,48.333333333333336,51.5
24,446.0,0.0,492.0,36.6,53.714285714285715
18,0.0,0.0,0.0,63.0,46.0
12,710.0,11.0,195.0,74.75,11.0
11,0.0,67.0,0.0,70.71428571428571,16.428571428571427
19,0.0,30.0,0.0,80.75,32.5
