week,Load: Practice,Load: S&C,Load: Competition,Sleep,Mood_delta
17,0.0,49.0,0.0,64.0,-3.857142857142861
2,0.0,0.0,0.0,77.4,1.4285714285714306
16,0.0,0.0,479.0,69.33333333333333,-15.000000000000007
13,628.0,78.0,0.0,86.0,6.75
19,0.0,154.0,0.0,51.0,8.142857142857146
9,0.0,0.0,0.0,83.75,1.4285714285714306
10,380.0,89.0,0.0,62.0,-3.0714285714285694
18,164.0,133.0,0.0,41.0,-18.950000000000003
4,573.0,111.0,0.0,73.0,-0.3333333333333286
26,0.0,0.0,0.0,59.0,-0.8333333333333286
4,243.0,222.0,0.0,53.5,5.333333333333329
14,558.0,167.0,0.0,29.571428571428573,5.214285714285715
4,0.0,0.0,0.0,73.66666666666667,6.666666666666671
12,0.0,0.0,0.0,84.0,-1.5714285714285694
20,0.0,80.0,0.0,57.0,0.2857142857142847
8,508.0,99.0,0.0,61.0,2.2857142857142847
29,606.0,162.0,0.0,91.5,11.0
14,582.0,184.0,0.0,49.285714285714285,3.5714285714285694
41,0.0,0.0,0.0,44.5,-1.8095238095238102
46,464.0,0.0,623.0,80.66666666666667,-3.8333333333333286
1,0.0,0.0,0.0,46.833333333333336,8.833333333333336
10,398.0,95.0,0.0,34.0,-1.857142857142854
17,0.0,0.0,0.0,74.0,8.333333333333336
5,459.0,109.0,0.0,66.14285714285714,15.428571428571423
4,0.0,0.0,0.0,69.0,-20.714285714285708
2,398.0,86.0,0.0,50.714285714285715,1.2380952380952337
11,0.0,0.0,0.0,66.75,3.25
7,0.0,0.0,0.0,84.0,1.7142857142857082
45,571.0,0.0,0.0,61.5,4.833333333333329
25,0.0,0.0,0.0,69.0,-13.0
18,211.0,48.0,0.0,44.25,-0.7142857142857153
6,0.0,0.0,0.0,81.33333333333333,18.83333333333333
23,0.0,0.0,0.0,61.5,-4.0
45,371.0,0.0,216.0,58.0,-6.333333333333336
8,467.0,157.0,0.0,82.8,-6.133333333333326
3,672.0,188.0,0.0,58.142857142857146,-9.57142857142857
46,265.0,0.0,274.0,92.83333333333333,8.033333333333331
4,0.0,108.0,0.0,46.42857142857143,-0.6857142857142833
15,0.0,0.0,0.0,82.75,-2.2857142857142776
13,0.0,0.0,0.0,80.0,-0.4000000000000057
24,308.0,60.0,0.0,85.33333333333333,-23.0
8,0.0,0.0,0.0,56.0,11.75
27,0.0,0.0,0.0,53.4,8.0
11,0.0,0.0,0.0,64.5,4.333333333333336
46,0.0,0.0,0.0,64.14285714285714,5.285714285714285
2,586.0,175.0,0.0,58.0,-5.714285714285715
18,0.0,0.0,0.0,81.0,4.0
45,217.0,0.0,202.0,77.0,2.8333333333333286
2,681.0,94.0,0.0,61.142857142857146,-1.095238095238102
11,0.0,125.0,0.0,58.5,-10.857142857142861
5,0.0,90.0,0.0,78.42857142857143,-4.714285714285708
15,0.0,0.0,0.0,58.285714285714285,12.880952380952372
2,438.0,32.0,0.0,48.833333333333336,3.0
1,0.0,0.0,0.0,85.2,18.900000000000006
1,0.0,0.0,0.0,56.142857142857146,-1.2857142857142847
6,0.0,118.0,0.0,80.25,6.25
29,0.0,0.0,0.0,48.0,-8.371428571428567
11,0.0,0.0,0.0,53.25,-6.571428571428569
25,418.0,0.0,734.0,56.285714285714285,-2.885714285714286
11,0.0,0.0,0.0,81.75,0.1428571428571388
12,0.0,0.0,0.0,46.0,-1.0
40,0.0,0.0,0.0,63.5,5.0
3,0.0,0.0,0.0,60.166666666666664,5.714285714285715
7,0.0,0.0,0.0,69.0,-23.619047619047628
6,243.0,124.0,0.0,48.333333333333336,-14.833333333333336
24,446.0,0.0,492.0,36.6,-9.285714285714285
18,0.0,0.0,0.0,63.0,4.0
12,710.0,11.0,195.0,74.75,10.75
11,0.0,67.0,0.0,70.71428571428571,-18.714285714285708
19,0.0,30.0,0.0,80.75,-2.642857142857139
13,633.0,168.0,0.0,54.42857142857143,-9.42857142857143
2,0.0,0.0,0.0,85.42857142857143,15.892857142857139
4,0.0,0.0,0.0,71.0,0.0
19,0.0,54.0,0.0,62.57142857142857,11.42857142857143
9,633.0,152.0,0.0,72.5,-3.714285714285708
3,0.0,0.0,0.0,68.42857142857143,7.0
3,0.0,0.0,0.0,55.57142857142857,6.114285714285707
28,437.0,125.0,0.0,85.25,20.285714285714292
