week,Load: Practice,Load: S&C,Load: Competition,100-Sleep
1,382.0,0.0,0.0,48.333333333333336
9,0.0,0.0,0.0,81.0
1,0.0,0.0,0.0,20.0
44,329.0,0.0,0.0,48.0
3,290.0,224.0,0.0,54.5
12,474.0,214.0,203.0,37.5
4,211.0,200.0,0.0,39.0
4,0.0,0.0,0.0,42.6
47,87.0,0.0,0.0,44.0
14,0.0,0.0,0.0,25.285714285714285
8,541.0,83.0,0.0,30.5
13,486.0,271.0,0.0,27.714285714285715
0,0.0,0.0,0.0,36.0
11,0.0,0.0,0.0,25.25
2,0.0,0.0,0.0,66.0
22,110.0,104.0,0.0,66.25
15,359.0,100.0,0.0,41.0
0,0.0,0.0,0.0,33.857142857142854
17,184.0,46.0,0.0,9.0
0,0.0,55.0,0.0,26.0
7,328.0,149.0,0.0,27.571428571428573
16,205.0,12.0,0.0,12.5
16,238.0,112.0,457.0,51.142857142857146
8,327.0,275.0,0.0,41.75
12,0.0,0.0,0.0,40.833333333333336
1,318.0,0.0,0.0,50.75
47,0.0,0.0,0.0,48.333333333333336
7,389.0,274.0,0.0,28.666666666666668
29,153.0,0.0,0.0,49.0
35,982.0,0.0,0.0,34.0
17,0.0,0.0,0.0,42.0
17,353.0,175.0,0.0,22.142857142857142
30,0.0,0.0,0.0,48.0
0,0.0,0.0,0.0,47.0
13,0.0,0.0,0.0,4.666666666666667
7,0.0,0.0,0.0,39.0
28,0.0,0.0,0.0,42.0
8,0.0,0.0,0.0,21.0
1,233.0,22.0,0.0,52.0
24,447.0,15.0,0.0,23.333333333333332
3,417.0,102.0,0.0,41.42857142857143
22,0.0,0.0,0.0,58.0
24,0.0,0.0,0.0,40.0
14,0.0,0.0,0.0,18.333333333333332
45,275.0,0.0,128.0,17.0
45,358.0,0.0,407.0,46.6
15,0.0,0.0,0.0,34.0
27,0.0,0.0,0.0,39.666666666666664
30,0.0,47.0,0.0,40.0
26,0.0,92.0,0.0,33.666666666666664
12,466.0,127.0,219.0,52.5
1,0.0,0.0,0.0,31.0
7,370.0,107.0,0.0,54.666666666666664
1,0.0,0.0,0.0,35.142857142857146
25,0.0,0.0,0.0,44.5
