week,Load: Practice,Load: S&C,Load: Competition,Sleep,Mood
8,467.0,157.0,0.0,82.8,77.66666666666667
3,672.0,188.0,0.0,58.142857142857146,58.0
46,265.0,0.0,274.0,92.83333333333333,84.83333333333333
4,0.0,108.0,0.0,46.42857142857143,42.714285714285715
15,0.0,0.0,0.0,82.75,80.85714285714286
13,0.0,0.0,0.0,80.0,82.6
12,0.0,0.0,0.0,47.0,52.0
24,308.0,60.0,0.0,85.33333333333333,67.71428571428571
8,0.0,0.0,0.0,56.0,59.75
27,0.0,0.0,0.0,53.4,65.5
11,0.0,0.0,0.0,64.5,51.0
24,0.0,0.0,0.0,65.6,68.5
46,0.0,0.0,0.0,64.14285714285714,63.57142857142857
2,586.0,175.0,0.0,58.0,61.857142857142854
0,0.0,0.0,0.0,78.33333333333333,67.25
18,0.0,0.0,0.0,81.0,75.0
45,217.0,0.0,202.0,77.0,74.5
2,681.0,94.0,0.0,61.142857142857146,67.57142857142857
11,0.0,125.0,0.0,58.5,39.857142857142854
5,0.0,90.0,0.0,78.42857142857143,82.0
15,0.0,0.0,0.0,58.285714285714285,69.71428571428571
2,438.0,32.0,0.0,48.833333333333336,73.5
1,0.0,0.0,0.0,85.2,74.4
25,0.0,0.0,0.0,47.666666666666664,63.666666666666664
1,0.0,0.0,0.0,56.142857142857146,63.714285714285715
6,0.0,118.0,0.0,80.25,88.25
29,0.0,0.0,0.0,48.0,45.2
11,0.0,0.0,0.0,53.25,56.142857142857146
25,418.0,0.0,734.0,56.285714285714285,52.714285714285715
11,0.0,0.0,0.0,81.75,84.57142857142857
12,0.0,0.0,0.0,46.0,58.0
40,0.0,0.0,0.0,63.5,64.0
3,0.0,0.0,0.0,60.166666666666664,67.0
7,0.0,0.0,0.0,69.0,62.666666666666664
22,0.0,0.0,0.0,60.0,100.0
6,243.0,124.0,0.0,48.333333333333336,47.166666666666664
24,446.0,0.0,492.0,36.6,32.142857142857146
18,0.0,0.0,0.0,63.0,69.0
12,710.0,11.0,195.0,74.75,76.75
11,0.0,67.0,0.0,70.71428571428571,55.0
19,0.0,30.0,0.0,80.75,83.5
13,633.0,168.0,0.0,54.42857142857143,46.285714285714285
2,0.0,0.0,0.0,85.42857142857143,91.14285714285714
0,0.0,0.0,0.0,62.0,62.0
4,0.0,0.0,0.0,71.0,56.0
19,0.0,54.0,0.0,62.57142857142857,72.85714285714286
9,633.0,152.0,0.0,72.5,72.0
3,0.0,0.0,0.0,68.42857142857143,91.42857142857143
3,0.0,0.0,0.0,55.57142857142857,68.71428571428571
28,437.0,125.0,0.0,85.25,85.28571428571429
16,297.0,118.0,358.0,55.5,43.0
25,431.0,112.0,0.0,80.0,82.66666666666667
28,363.0,187.0,0.0,76.5,80.0
10,0.0,0.0,0.0,46.0,46.666666666666664
12,565.0,189.0,201.0,67.57142857142857,72.42857142857143
23,0.0,0.0,0.0,51.0,46.5
0,0.0,0.0,0.0,69.8,63.42857142857143
27,0.0,0.0,0.0,58.0,47.5
18,0.0,176.0,0.0,77.42857142857143,81.28571428571429
16,252.0,65.0,552.0,65.85714285714286,67.85714285714286
2,0.0,0.0,0.0,79.71428571428571,84.42857142857143
17,0.0,0.0,0.0,63.666666666666664,67.28571428571429
45,48.0,0.0,0.0,35.0,64.0
20,0.0,46.0,0.0,48.4,60.0
13,310.0,158.0,0.0,79.66666666666667,85.66666666666667
17,205.0,17.0,0.0,41.8,45.0
44,506.0,0.0,134.0,4.0,54.0
3,0.0,0.0,0.0,88.0,76.0
0,0.0,0.0,0.0,20.0,71.0
4,454.0,36.0,0.0,54.6,57.4
13,0.0,0.0,0.0,68.25,60.0
25,0.0,0.0,0.0,100.0,76.0
45,418.0,0.0,499.0,49.285714285714285,61.285714285714285
44,671.0,0.0,214.0,38.0,41.857142857142854
2,895.0,0.0,0.0,70.75,80.5
7,163.0,184.0,0.0,61.0,64.66666666666667
9,0.0,0.0,0.0,46.25,51.25
4,0.0,0.0,0.0,82.0,76.5
14,608.0,84.0,0.0,86.83333333333333,82.16666666666667
44,633.0,0.0,197.0,57.0,52.333333333333336
31,384.0,67.0,0.0,45.333333333333336,51.166666666666664
7,0.0,0.0,0.0,65.75,55.857142857142854
31,0.0,70.0,0.0,54.0,88.0
19,0.0,133.0,0.0,55.666666666666664,60.666666666666664
45,474.0,0.0,412.0,65.0,58.333333333333336
9,650.0,163.0,0.0,47.0,52.0
9,0.0,0.0,0.0,67.0,54.666666666666664
8,154.0,79.0,0.0,89.0,84.75
28,280.0,86.0,0.0,36.0,32.0
46,361.0,0.0,510.0,73.5,87.0
