week,Load: Practice,Load: S&C,Load: Competition,Sleep,Motivation
44,623.0,0.0,126.0,74.66666666666667,73.33333333333333
8,508.0,99.0,0.0,61.0,59.57142857142857
29,606.0,162.0,0.0,91.5,94.0
14,582.0,184.0,0.0,49.285714285714285,40.857142857142854
41,0.0,0.0,0.0,44.5,43.666666666666664
46,464.0,0.0,623.0,80.66666666666667,100.0
1,0.0,0.0,0.0,46.833333333333336,61.5
10,398.0,95.0,0.0,34.0,44.285714285714285
17,0.0,0.0,0.0,74.0,50.0
5,459.0,109.0,0.0,66.14285714285714,68.71428571428571
4,0.0,0.0,0.0,69.0,75.0
0,0.0,0.0,0.0,48.666666666666664,68.66666666666667
2,398.0,86.0,0.0,50.714285714285715,52.0
11,0.0,0.0,0.0,66.75,51.0
7,0.0,0.0,0.0,84.0,74.42857142857143
7,0.0,0.0,0.0,77.0,68.0
45,571.0,0.0,0.0,61.5,64.5
25,0.0,0.0,0.0,69.0,100.0
18,211.0,48.0,0.0,44.25,22.0
25,680.0,0.0,0.0,58.0,66.0
6,0.0,0.0,0.0,81.33333333333333,47.333333333333336
0,0.0,0.0,0.0,62.25,55.0
23,0.0,0.0,0.0,61.5,100.0
45,371.0,0.0,216.0,58.0,21.666666666666668
44,0.0,0.0,0.0,29.0,0.0
8,467.0,157.0,0.0,82.8,89.33333333333333
3,672.0,188.0,0.0,58.142857142857146,54.42857142857143
46,265.0,0.0,274.0,92.83333333333333,93.5
4,0.0,108.0,0.0,46.42857142857143,55.142857142857146
15,0.0,0.0,0.0,82.75,71.85714285714286
13,0.0,0.0,0.0,80.0,77.0
12,0.0,0.0,0.0,47.0,68.0
24,308.0,60.0,0.0,85.33333333333333,62.142857142857146
8,0.0,0.0,0.0,56.0,64.25
27,0.0,0.0,0.0,53.4,57.666666666666664
11,0.0,0.0,0.0,64.5,28.5
24,0.0,0.0,0.0,65.6,66.0
46,0.0,0.0,0.0,64.14285714285714,63.0
2,586.0,175.0,0.0,58.0,80.57142857142857
0,0.0,0.0,0.0,78.33333333333333,66.0
18,0.0,0.0,0.0,81.0,77.0
45,217.0,0.0,202.0,77.0,73.5
2,681.0,94.0,0.0,61.142857142857146,61.0
11,0.0,125.0,0.0,58.5,41.57142857142857
5,0.0,90.0,0.0,78.42857142857143,72.85714285714286
15,0.0,0.0,0.0,58.285714285714285,69.57142857142857
2,438.0,32.0,0.0,48.833333333333336,72.0
1,0.0,0.0,0.0,85.2,55.0
25,0.0,0.0,0.0,47.666666666666664,70.66666666666667
1,0.0,0.0,0.0,56.142857142857146,89.42857142857143
6,0.0,118.0,0.0,80.25,78.75
29,0.0,0.0,0.0,48.0,41.6
11,0.0,0.0,0.0,53.25,48.42857142857143
25,418.0,0.0,734.0,56.285714285714285,57.142857142857146
11,0.0,0.0,0.0,81.75,78.0
12,0.0,0.0,0.0,46.0,67.0
40,0.0,0.0,0.0,63.5,70.0
3,0.0,0.0,0.0,60.166666666666664,66.28571428571429
7,0.0,0.0,0.0,69.0,61.333333333333336
22,0.0,0.0,0.0,60.0,100.0
6,243.0,124.0,0.0,48.333333333333336,66.0
24,446.0,0.0,492.0,36.6,38.142857142857146
18,0.0,0.0,0.0,63.0,64.0
12,710.0,11.0,195.0,74.75,82.25
11,0.0,67.0,0.0,70.71428571428571,28.142857142857142
19,0.0,30.0,0.0,80.75,78.5
13,633.0,168.0,0.0,54.42857142857143,43.714285714285715
2,0.0,0.0,0.0,85.42857142857143,100.0
0,0.0,0.0,0.0,62.0,48.0
4,0.0,0.0,0.0,71.0,68.0
19,0.0,54.0,0.0,62.57142857142857,51.714285714285715
9,633.0,152.0,0.0,72.5,53.714285714285715
3,0.0,0.0,0.0,68.42857142857143,92.71428571428571
3,0.0,0.0,0.0,55.57142857142857,96.85714285714286
28,437.0,125.0,0.0,85.25,82.85714285714286
16,297.0,118.0,358.0,55.5,52.5
25,431.0,112.0,0.0,80.0,81.16666666666667
28,363.0,187.0,0.0,76.5,87.5
10,0.0,0.0,0.0,46.0,31.333333333333332
12,565.0,189.0,201.0,67.57142857142857,75.28571428571429
23,0.0,0.0,0.0,51.0,55.0
0,0.0,0.0,0.0,69.8,51.0
27,0.0,0.0,0.0,58.0,40.5
18,0.0,176.0,0.0,77.42857142857143,84.42857142857143
16,252.0,65.0,552.0,65.85714285714286,70.42857142857143
2,0.0,0.0,0.0,79.71428571428571,88.28571428571429
17,0.0,0.0,0.0,63.666666666666664,65.71428571428571
45,48.0,0.0,0.0,35.0,47.0
20,0.0,46.0,0.0,48.4,60.6
13,310.0,158.0,0.0,79.66666666666667,88.33333333333333
17,205.0,17.0,0.0,41.8,22.142857142857142
44,506.0,0.0,134.0,4.0,53.0
3,0.0,0.0,0.0,88.0,89.5
0,0.0,0.0,0.0,20.0,28.0
4,454.0,36.0,0.0,54.6,22.0
13,0.0,0.0,0.0,68.25,46.75
25,0.0,0.0,0.0,100.0,96.0
45,418.0,0.0,499.0,49.285714285714285,62.0
44,671.0,0.0,214.0,38.0,38.714285714285715
2,895.0,0.0,0.0,70.75,90.25
7,163.0,184.0,0.0,61.0,82.5
9,0.0,0.0,0.0,46.25,59.75
4,0.0,0.0,0.0,82.0,79.25
