week,Load: Practice,Load: S&C,Load: Competition,Sleep,Fatigue_delta
16,0.0,0.0,479.0,69.33333333333333,2.0
13,628.0,78.0,0.0,86.0,-16.0
19,0.0,154.0,0.0,51.0,-7.4285714285714235
9,0.0,0.0,0.0,83.75,0.42857142857142705
10,380.0,89.0,0.0,62.0,11.904761904761898
18,164.0,133.0,0.0,41.0,-1.7999999999999972
4,573.0,111.0,0.0,73.0,-1.7333333333333307
26,0.0,0.0,0.0,59.0,-23.0
4,243.0,222.0,0.0,53.5,-1.8333333333333357
14,558.0,167.0,0.0,29.571428571428573,-7.714285714285715
4,0.0,0.0,0.0,73.66666666666667,-25.16666666666667
12,0.0,0.0,0.0,84.0,7.285714285714285
20,0.0,80.0,0.0,57.0,5.571428571428573
8,508.0,99.0,0.0,61.0,5.571428571428569
29,606.0,162.0,0.0,91.5,-12.0
14,582.0,184.0,0.0,49.285714285714285,1.142857142857146
41,0.0,0.0,0.0,44.5,-0.8333333333333357
46,464.0,0.0,623.0,80.66666666666667,-4.333333333333332
1,0.0,0.0,0.0,46.833333333333336,-0.1666666666666643
10,398.0,95.0,0.0,34.0,-1.7142857142857153
17,0.0,0.0,0.0,74.0,-7.333333333333336
5,459.0,109.0,0.0,66.14285714285714,-5.0
4,0.0,0.0,0.0,69.0,-10.285714285714285
2,398.0,86.0,0.0,50.714285714285715,-0.7142857142857153
11,0.0,0.0,0.0,66.75,-26.58333333333333
7,0.0,0.0,0.0,84.0,-0.8571428571428577
45,571.0,0.0,0.0,61.5,-10.5
25,0.0,0.0,0.0,69.0,1.0
18,211.0,48.0,0.0,44.25,-14.142857142857146
6,0.0,0.0,0.0,81.33333333333333,1.5
23,0.0,0.0,0.0,61.5,-10.75
45,371.0,0.0,216.0,58.0,-5.666666666666668
8,467.0,157.0,0.0,82.8,2.5666666666666664
3,672.0,188.0,0.0,58.142857142857146,13.428571428571423
46,265.0,0.0,274.0,92.83333333333333,-0.3999999999999999
4,0.0,108.0,0.0,46.42857142857143,-4.171428571428571
15,0.0,0.0,0.0,82.75,13.857142857142858
13,0.0,0.0,0.0,80.0,-7.428571428571427
24,308.0,60.0,0.0,85.33333333333333,-2.7142857142857135
8,0.0,0.0,0.0,56.0,-11.25
27,0.0,0.0,0.0,53.4,-3.8333333333333357
11,0.0,0.0,0.0,64.5,-20.5
46,0.0,0.0,0.0,64.14285714285714,5.857142857142858
2,586.0,175.0,0.0,58.0,12.428571428571429
18,0.0,0.0,0.0,81.0,-10.0
45,217.0,0.0,202.0,77.0,-10.0
2,681.0,94.0,0.0,61.142857142857146,0.4761904761904816
11,0.0,125.0,0.0,58.5,1.4285714285714306
5,0.0,90.0,0.0,78.42857142857143,-10.571428571428573
15,0.0,0.0,0.0,58.285714285714285,-6.023809523809518
2,438.0,32.0,0.0,48.833333333333336,8.083333333333336
1,0.0,0.0,0.0,85.2,-16.450000000000003
1,0.0,0.0,0.0,56.142857142857146,-7.428571428571427
6,0.0,118.0,0.0,80.25,13.607142857142858
29,0.0,0.0,0.0,48.0,4.742857142857147
11,0.0,0.0,0.0,53.25,5.0
25,418.0,0.0,734.0,56.285714285714285,10.228571428571428
11,0.0,0.0,0.0,81.75,-4.857142857142858
12,0.0,0.0,0.0,46.0,-4.5
40,0.0,0.0,0.0,63.5,16.666666666666664
3,0.0,0.0,0.0,60.166666666666664,0.7142857142857082
7,0.0,0.0,0.0,69.0,1.3095238095238102
6,243.0,124.0,0.0,48.333333333333336,25.5
24,446.0,0.0,492.0,36.6,-1.4285714285714306
18,0.0,0.0,0.0,63.0,1.0
12,710.0,11.0,195.0,74.75,13.5
11,0.0,67.0,0.0,70.71428571428571,1.4285714285714288
19,0.0,30.0,0.0,80.75,6.785714285714285
13,633.0,168.0,0.0,54.42857142857143,2.428571428571427
2,0.0,0.0,0.0,85.42857142857143,-21.392857142857142
4,0.0,0.0,0.0,71.0,0.0
